prev_ictv_id	next_ictv_id	is_merged	is_split	dist	rev_count
20165019	20165019	0	0	0	0
20165020	20165020	0	0	0	0
20165021	20165021	0	0	0	0
20165022	20165022	0	0	0	0
20165023	20165023	0	0	0	0
20165024	20165024	0	0	0	0
20165025	20165025	0	0	0	0
20165026	20165026	0	0	0	0
20165027	20165027	0	0	0	0
20165028	20165028	0	0	0	0
20165029	20165029	0	0	0	0
20165030	20165030	0	0	0	0
20165031	20165031	0	0	0	0
20165032	20165032	0	0	0	0
20165033	20165033	0	0	0	0
20165034	20165034	0	0	0	0
20165035	20165035	0	0	0	0
20165036	20165036	0	0	0	0
20165037	20165037	0	0	0	0
20165038	20165038	0	0	0	0
20165039	20165039	0	0	0	0
20165040	20165040	0	0	0	0
20165041	20165041	0	0	0	0
20165042	20165042	0	0	0	0
20165043	20165043	0	0	0	0
20165044	20165044	0	0	0	0
20165045	20165045	0	0	0	0
20165046	20165046	0	0	0	0
20165047	20165047	0	0	0	0
20165048	20165048	0	0	0	0
20165049	20165049	0	0	0	0
20165050	20165050	0	0	0	0
20165051	20165051	0	0	0	0
20165052	20165052	0	0	0	0
20165053	20165053	0	0	0	0
20165054	20165054	0	0	0	0
20165055	20165055	0	0	0	0
20165056	20165056	0	0	0	0
20165057	20165057	0	0	0	0
20165058	20165058	0	0	0	0
20165059	20165059	0	0	0	0
20165060	20165060	0	0	0	0
20165061	20165061	0	0	0	0
20165062	20165062	0	0	0	0
20165063	20165063	0	0	0	0
20165064	20165064	0	0	0	0
20165065	20165065	0	0	0	0
20165066	20165066	0	0	0	0
20165067	20165067	0	0	0	0
20165068	20165068	0	0	0	0
20165069	20165069	0	0	0	0
20165070	20165070	0	0	0	0
20165071	20165071	0	0	0	0
20165072	20165072	0	0	0	0
20165073	20165073	0	0	0	0
20165074	20165074	0	0	0	0
20165075	20165075	0	0	0	0
20165076	20165076	0	0	0	0
20165077	20165077	0	0	0	0
20165078	20165078	0	0	0	0
20165079	20165079	0	0	0	0
20165080	20165080	0	0	0	0
20165081	20165081	0	0	0	0
20165082	20165082	0	0	0	0
20165083	20165083	0	0	0	0
20165084	20165084	0	0	0	0
20165085	20165085	0	0	0	0
20165086	20165086	0	0	0	0
20165087	20165087	0	0	0	0
20165088	20165088	0	0	0	0
20165089	20165089	0	0	0	0
20165090	20165090	0	0	0	0
20165091	20165091	0	0	0	0
20165092	20165092	0	0	0	0
20165093	20165093	0	0	0	0
20165094	20165094	0	0	0	0
20165095	20165095	0	0	0	0
20165096	20165096	0	0	0	0
20165097	20165097	0	0	0	0
20165098	20165098	0	0	0	0
20165099	20165099	0	0	0	0
20165100	20165100	0	0	0	0
20165101	20165101	0	0	0	0
20165102	20165102	0	0	0	0
20165103	20165103	0	0	0	0
20165104	20165104	0	0	0	0
20165105	20165105	0	0	0	0
20165106	20165106	0	0	0	0
20165107	20165107	0	0	0	0
20165108	20165108	0	0	0	0
20165109	20165109	0	0	0	0
20165110	20165110	0	0	0	0
20165111	20165111	0	0	0	0
20165112	20165112	0	0	0	0
20165113	20165113	0	0	0	0
20165114	20165114	0	0	0	0
20165115	20165115	0	0	0	0
20165116	20165116	0	0	0	0
20165117	20165117	0	0	0	0
20165118	20165118	0	0	0	0
20165119	20165119	0	0	0	0
20165120	20165120	0	0	0	0
20165121	20165121	0	0	0	0
20165122	20165122	0	0	0	0
20165123	20165123	0	0	0	0
20165124	20165124	0	0	0	0
20165125	20165125	0	0	0	0
20165126	20165126	0	0	0	0
20165127	20165127	0	0	0	0
20165128	20165128	0	0	0	0
20165129	20165129	0	0	0	0
20165130	20165130	0	0	0	0
20165131	20165131	0	0	0	0
20165132	20165132	0	0	0	0
20165133	20165133	0	0	0	0
20165134	20165134	0	0	0	0
20165135	20165135	0	0	0	0
20165136	20165136	0	0	0	0
20165137	20165137	0	0	0	0
20165138	20165138	0	0	0	0
20165139	20165139	0	0	0	0
20165140	20165140	0	0	0	0
20165141	20165141	0	0	0	0
20165142	20165142	0	0	0	0
20165143	20165143	0	0	0	0
20165144	20165144	0	0	0	0
20165145	20165145	0	0	0	0
20165146	20165146	0	0	0	0
20165147	20165147	0	0	0	0
20165148	20165148	0	0	0	0
20165149	20165149	0	0	0	0
20165150	20165150	0	0	0	0
20165151	20165151	0	0	0	0
